id,name,has_pom
MDEwOlJlcG9zaXRvcnkzNjM5NA==,benadida/helios,false
MDEwOlJlcG9zaXRvcnkzNjQxMA==,zlite/ardupilot,false
MDEwOlJlcG9zaXRvcnkzNjQ3MA==,alexandrandronescu/tigus,false
MDEwOlJlcG9zaXRvcnkzNjYzNQ==,robennals/think-link,false
MDEwOlJlcG9zaXRvcnkzNjY0MA==,pmckinstry/gant-sample,false
MDEwOlJlcG9zaXRvcnkzNzI5Nw==,boo/boo-lang,false
MDEwOlJlcG9zaXRvcnkzNzM5OQ==,rictic/code_swarm,false
MDEwOlJlcG9zaXRvcnkzODM1OA==,thoughtworks/cruisecontrol.rb,false
MDEwOlJlcG9zaXRvcnkzODQyNA==,berlinbrown/openbotlist,false
MDEwOlJlcG9zaXRvcnkzODYyOQ==,OKullmann/oklibrary,false
MDEwOlJlcG9zaXRvcnkzNzczMQ==,mrdon/maven-itblast-plugin,true
MDEwOlJlcG9zaXRvcnkzNzc5Nw==,anarcher/scala-ant-base,false
MDEwOlJlcG9zaXRvcnkzNzkxNg==,tmm1/rmongo,false
MDEwOlJlcG9zaXRvcnkzNzkzMw==,jdfrens/ciat,false
MDEwOlJlcG9zaXRvcnkzODExMQ==,mongrel/mongrel,false
MDEwOlJlcG9zaXRvcnkzODEzOA==,toddlipcon/cassandra,false
MDEwOlJlcG9zaXRvcnkzODgyNg==,pledbrook/grails-gwt,false
MDEwOlJlcG9zaXRvcnkzODgyOA==,anarcher/sview,false
MDEwOlJlcG9zaXRvcnkzOTAxNA==,grou-ps/grou.ps,false
MDEwOlJlcG9zaXRvcnkzOTI5OQ==,tucson-jug/git-together-examples,false
MDEwOlJlcG9zaXRvcnk0MDI0Mg==,nickmerwin/merconf_red5,false
MDEwOlJlcG9zaXRvcnkzOTc4MQ==,gdey/ucsd-ext-java----class,false
MDEwOlJlcG9zaXRvcnkzOTMwOA==,elitau/mett_media_producer,false
MDEwOlJlcG9zaXRvcnk0MDM4NA==,olamy/scm-git-test,true
MDEwOlJlcG9zaXRvcnkzOTg4NA==,projectileboy/intelli-arc,false
MDEwOlJlcG9zaXRvcnkzOTUwOQ==,bo198214/4dbb,false
MDEwOlJlcG9zaXRvcnk0MDQ0NA==,davie/hamcrest-collections-changes,false
MDEwOlJlcG9zaXRvcnk0MDAxMg==,timander/fitnesse-intro,false
MDEwOlJlcG9zaXRvcnkzOTU2Mw==,talios/timetrackr,true
MDEwOlJlcG9zaXRvcnk0MDEyNA==,nmerouze/qtjruby-core,false
MDEwOlJlcG9zaXRvcnkzOTYzNA==,sintaxi/phonegap,false
MDEwOlJlcG9zaXRvcnk0MTI0Mw==,wolfdancer/cotta,true
MDEwOlJlcG9zaXRvcnk0MTI4NQ==,mrdon/crowd-asf-directory,true
MDEwOlJlcG9zaXRvcnk0MTM2NA==,ghili/sandbox,false
MDEwOlJlcG9zaXRvcnk0MDc3Ng==,brianm/mxfingerd,true
MDEwOlJlcG9zaXRvcnk0MTU2OA==,fride/infoobject-plugin,true
MDEwOlJlcG9zaXRvcnk0MDg0OQ==,garymcwilliams/gary-shell,false
